I,J,TP,Mode,Vol
1,2,1,SOV,559.08
1,2,2,SOV,516.33
1,2,3,SOV,462.77
1,2,4,SOV,405.92
1,2,5,SOV,368.80
1,2,6,SOV,334.51
1,2,7,SOV,303.50
1,2,8,SOV,283.77
1,2,9,SOV,269.67
1,2,10,SOV,272.49
1,2,11,SOV,267.79
1,2,12,SOV,261.22
1,2,13,SOV,257.93
1,2,14,SOV,276.72
1,2,15,SOV,324.64
1,2,16,SOV,308.20
1,2,17,SOV,316.65
1,2,18,SOV,364.11
1,2,19,SOV,473.57
1,2,20,SOV,506.46
1,2,21,SOV,539.82
1,2,22,SOV,711.30
1,2,23,SOV,931.17
1,2,24,SOV,1003.99
1,2,25,SOV,1081.51
1,2,26,SOV,1350.25
1,2,27,SOV,1603.95
1,2,28,SOV,1604.42
1,2,29,SOV,1551.33
1,2,30,SOV,1688.04
1,2,31,SOV,1944.56
1,2,32,SOV,2000.00
1,2,33,SOV,1844.02
1,2,34,SOV,1829.46
1,2,35,SOV,1791.40
1,2,36,SOV,1836.03
1,2,37,SOV,1693.21
1,2,38,SOV,1728.45
1,2,39,SOV,1784.36
1,2,40,SOV,1828.05
1,2,41,SOV,1752.88
1,2,42,SOV,1811.13
1,2,43,SOV,1882.08
1,2,44,SOV,1863.28
1,2,45,SOV,1855.77
1,2,46,SOV,1929.53
1,2,47,SOV,1989.66
1,2,48,SOV,2027.72
1,2,49,SOV,2009.40
1,2,50,SOV,2057.32
1,2,51,SOV,1920.13
1,2,52,SOV,2143.29
1,2,53,SOV,2108.06
1,2,54,SOV,2195.91
1,2,55,SOV,2191.21
1,2,56,SOV,2248.06
1,2,57,SOV,2294.10
1,2,58,SOV,2364.11
1,2,59,SOV,2420.48
1,2,60,SOV,2431.76
1,2,61,SOV,2479.68
1,2,62,SOV,2543.11
1,2,63,SOV,2614.52
1,2,64,SOV,2537.00
1,2,65,SOV,2618.75
1,2,66,SOV,2687.81
1,2,67,SOV,2687.81
1,2,68,SOV,2445.85
1,2,69,SOV,2649.28
1,2,70,SOV,2585.86
1,2,71,SOV,2557.20
1,2,72,SOV,2563.31
1,2,73,SOV,2524.31
1,2,74,SOV,2442.10
1,2,75,SOV,2360.35
1,2,76,SOV,2292.22
1,2,77,SOV,2229.74
1,2,78,SOV,2252.76
1,2,79,SOV,2170.07
1,2,80,SOV,2048.86
1,2,81,SOV,1947.38
1,2,82,SOV,1861.40
1,2,83,SOV,1673.48
1,2,84,SOV,1654.22
1,2,85,SOV,1562.13
1,2,86,SOV,1571.53
1,2,87,SOV,1424.48
1,2,88,SOV,1313.13
1,2,89,SOV,1219.64
1,2,90,SOV,1170.31
1,2,91,SOV,1103.12
1,2,92,SOV,1045.81
1,2,93,SOV,1017.62
1,2,94,SOV,893.59
1,2,95,SOV,833.45
1,2,96,SOV,734.79
